VALDATA,IPCA,TAXA_DESOCUPACAO,ANO,MES,TRIMESTRE,ANO_MES,IPCA_VARIACAO_MENSAL,IPCA_VARIACAO_ANUAL,DESOCUPACAO_VARIACAO_MENSAL,DESOCUPACAO_VARIACAO_ANUAL,CLASSIFICACAO_INFLACAO,CLASSIFICACAO_DESOCUPACAO
2024-01-01,6801.72,7.6,2024,1,1,2024-01,0.42003345503722755,4.506791223649453,0.1999999999999993,-0.8000000000000007,Moderada,Baixa
2024-02-01,6858.17,7.8,2024,2,1,2024-02,0.829937133548575,4.4963713627921065,0.20000000000000018,-0.7999999999999998,Moderada,Baixa
2024-03-01,6869.14,7.9,2024,3,1,2024-03,0.159955206709661,3.925612019964686,0.10000000000000053,-0.9000000000000004,Moderada,Baixa
2024-04-01,6895.24,7.5,2024,4,2,2024-04,0.3799602279179082,3.687975470639815,-0.40000000000000036,-1.0,Moderada,Baixa
2024-05-01,6926.96,7.1,2024,5,2,2024-05,0.4600274972299756,3.9260166114551964,-0.40000000000000036,-1.200000000000001,Moderada,Baixa
2024-06-01,6941.51,6.9,2024,6,2,2024-06,0.21004885259912065,4.227659366812064,-0.1999999999999993,-1.0999999999999996,Moderada,Baixa
2024-07-01,6967.89,6.8,2024,7,3,2024-07,0.38003258656977845,4.498390807355812,-0.10000000000000053,-1.1000000000000005,Moderada,Baixa
2024-08-01,6966.5,6.6,2024,8,3,2024-08,-0.01994865016525793,4.237739553033837,-0.20000000000000018,-1.2000000000000002,Moderada,Baixa
2024-09-01,6997.15,6.4,2024,9,3,2024-09,0.439962678532968,4.424788005957625,-0.1999999999999993,-1.2999999999999998,Moderada,Baixa
2024-10-01,7036.33,6.2,2024,10,4,2024-10,0.5599422622067696,4.758111822104172,-0.20000000000000018,-1.3999999999999995,Moderada,Baixa
2024-11-01,7063.77,6.1,2024,11,4,2024-11,0.3899760244332029,4.872950241628371,-0.10000000000000053,-1.4000000000000004,Moderada,Baixa
2024-12-01,7100.5,6.2,2024,12,4,2024-12,0.5199772925788881,4.831196748394784,0.10000000000000053,-1.2000000000000002,Moderada,Baixa
2025-01-01,7111.86,6.5,2025,1,1,2025-01,0.15998873318778806,4.5597290097210585,0.2999999999999998,-1.0999999999999996,Moderada,Baixa
2025-02-01,7205.03,6.8,2025,2,1,2025-02,1.3100651587629741,5.057617411058635,0.2999999999999998,-1.0,Moderada,Baixa
2025-03-01,7245.38,7.0,2025,3,1,2025-03,0.5600254266810767,5.4772504272732725,0.20000000000000018,-0.9000000000000004,Moderada,Baixa
2025-04-01,7276.54,6.6,2025,4,2,2025-04,0.4300671600385275,5.529901787319957,-0.40000000000000036,-0.9000000000000004,Moderada,Baixa
2025-05-01,7295.46,6.2,2025,5,2,2025-05,0.26001368782415657,5.3197939644519465,-0.39999999999999947,-0.8999999999999995,Moderada,Baixa
2025-06-01,7312.97,5.8,2025,6,2,2025-06,0.2400122816107686,5.351285239090631,-0.40000000000000036,-1.1000000000000005,Moderada,Baixa
2025-07-01,7331.98,5.6,2025,7,3,2025-07,0.25994910412594496,5.225254704078264,-0.20000000000000018,-1.2000000000000002,Moderada,Baixa
2025-08-01,7323.91,5.6,2025,8,3,2025-08,-0.11006576668238788,5.1304098184167035,0.0,-1.0,Moderada,Baixa
2025-09-01,7359.06,5.6,2025,9,3,2025-09,0.4799348981623375,5.172248701256943,0.0,-0.8000000000000007,Moderada,Baixa
